model,metric,decay_rate_k,asymptote_y_inf,amplitude_A,r2_log_fit,fit_status,n_points
Greedy ML-only,entropy,0.07815581779312535,2.9423886134620547,334.36385327693125,0.4191076039468111,ok,221
Greedy ML-only,infeasible_mass,0.1254283887404927,8.836741772668643e-18,0.002375072246339454,0.8902261255743752,ok,221
Greedy ML-only,optimality_gap,0.08065531032526228,0.001970261091830192,4.100533778339633,0.540841029238621,ok,221
Greedy ML-only,regret,0.07779276288675512,0.0043586846707649035,3.074995028698375,0.5099262975249164,ok,221
LLM-guided variational flow,entropy,0.08069800892778704,2.9040292662506824,373.913520958863,0.4474274770306904,ok,221
LLM-guided variational flow,infeasible_mass,0.0,0.0002101396564659282,4.928484192648993e-13,0.08169446792919988,ok,221
LLM-guided variational flow,optimality_gap,0.12028697410479113,0.003975275469635052,0.4889192768130147,0.453673015339199,ok,221
LLM-guided variational flow,regret,0.09988692766395195,0.00942716138499254,0.0018292931792280168,0.30357082291044524,ok,221
Static recommender,entropy,,3.9901288987707706,,,insufficient_variation,221
Static recommender,infeasible_mass,,4.7140435516152943e-42,,,insufficient_variation,221
Static recommender,optimality_gap,,0.011855135609553258,,,insufficient_variation,221
Static recommender,regret,,0.0022763275345427177,,,insufficient_variation,221
Variational flow,entropy,0.0,7.349848268261989,2.549769280257056e-13,0.2697000373228814,ok,221
Variational flow,infeasible_mass,0.07562139473369356,0.028172603730951477,20.89408857525944,0.41004940029265147,ok,221
Variational flow,optimality_gap,0.07119701651390817,0.31233592676334365,14.500475074932108,0.36408615432210767,ok,221
Variational flow,regret,0.07286845738462623,0.24088991180514152,20.179479366716212,0.37552860384667386,ok,221
